id_transferencia,cantidad,cuenta_emisora,cuenta_receptora,fecha_movimiento
5155627914,2366.95,1073,708,2022-02-03
7075531735,4628.65,757,756,2023-07-06
3447304833,645.61,1033,1008,2022-08-02
4680560909,7118.6,112,886,2023-10-05
2585625821,8761.23,995,922,2023-09-05
4445794003,2342.4,853,592,2024-08-02
3377003951,9275.15,1107,1108,2024-03-04
4782106394,4641.23,47,46,2024-08-06
10895942854,2097.52,1119,1171,2022-09-01
1625278240,391.93,279,888,2023-06-05
9857019993,1765.3,181,182,2022-06-06
9679037354,2965.03,943,804,2024-01-02
8910258460,3970.63,524,386,2022-02-04
10881693178,4255.72,961,696,2023-10-05
9528853010,3229.32,183,181,2025-01-05
10686382382,3480.89,311,161,2024-07-06
7064962794,6695.1,275,276,2024-03-04
4209745152,3685.25,235,1179,2023-04-01
5798233226,9127.47,389,166,2022-11-05
4131559821,7219.63,1139,1141,2022-06-01
4488322132,9297.78,234,766,2022-01-01
7061121910,5030.96,363,361,2023-08-05
6785661467,5071.96,884,157,2023-08-02
1447974360,6854.96,148,576,2023-07-04
3165957960,9329.03,384,385,2024-10-05
2435258006,4776.99,162,172,2024-11-01
6604921754,6967.41,425,59,2022-03-03
1230534707,3500.24,128,129,2024-08-04
4616612920,3295.16,183,181,2024-04-05
3233732460,9509.03,779,28,2023-01-04
8001477658,4218.51,1033,945,2025-01-05
10440495443,233.51,985,1164,2023-06-04
2967981611,8196.07,324,322,2022-09-01
7110523162,5865.04,260,258,2023-01-04
7673399095,7460.37,260,258,2024-11-05
6721641831,4804.72,413,675,2024-09-03
2734867412,9384.88,308,309,2023-11-03
9095268210,2371.47,86,426,2024-07-01
3825560108,2290.68,128,751,2024-11-02
8449233344,686.25,1143,1144,2023-05-04
3912154982,5122.71,363,364,2023-02-03
3894701936,6958.42,541,542,2022-01-01
6616588826,6274.52,297,504,2022-04-02
5197175793,5508.29,706,641,2024-07-05
3077753509,2678.9,229,394,2023-08-01
7758319876,1031.56,637,400,2022-06-06
1083864865,885.08,1129,1127,2024-09-01
7725981677,9441.82,193,791,2022-01-02
3037998847,7265.62,489,806,2024-07-05
9294607721,7281.14,860,963,2022-06-01
7543821995,8367.98,193,791,2024-01-01
2199545956,470.11,1107,1106,2022-01-04
3814612604,7184.08,309,308,2024-06-01
2338317588,1061.59,258,260,2022-02-02
8413814422,5387.87,1033,1008,2023-05-02
6550019277,6193.42,519,559,2023-08-06
10149461176,12.65,551,924,2024-03-02
2702182529,2474.84,201,202,2022-05-01
7086383033,703.85,597,697,2024-01-03
10285456637,7282.18,235,1179,2024-04-04
10292861931,6904.48,292,293,2024-04-02
9150595416,4802.36,524,386,2023-01-03
10919828297,1295.39,297,1051,2024-05-02
8190498025,4652.7,1033,1008,2022-05-04
10301385049,8735.39,403,993,2023-06-01
8207281725,1752.56,582,598,2023-08-06
10916920823,497.84,128,129,2024-06-02
6908293580,9651.94,971,493,2024-11-06
3791492093,4106.29,803,883,2023-02-03
3936298057,8469.24,1032,930,2024-04-02
1066378958,41.12,183,181,2024-02-03
9692299425,6117.11,128,129,2022-01-01
6463880067,7133.57,260,258,2024-11-04
9262793909,1659.38,181,183,2022-02-04
4633020371,3731.96,757,756,2023-02-04
7079398618,564.24,628,187,2024-01-01
7001009689,6678.9,297,504,2025-01-02
7616145551,2808.83,421,632,2024-05-01
2043424111,3376.55,274,275,2024-07-01
5191187915,2669.76,961,696,2022-02-02
9748140673,8971.68,320,318,2023-04-04
3110840348,9738.86,47,46,2025-01-03
2074115108,7701.2,122,124,2024-06-05
9754240919,8084.61,582,598,2024-01-02
3318075293,4846.13,733,222,2022-08-02
9195122860,4456.27,174,647,2024-11-06
5671402759,1395.01,311,161,2025-01-01
5233490228,8281.87,297,298,2024-02-06
6487509340,3667.39,261,262,2023-07-06
2841198099,4609.02,128,129,2024-02-02
6070075726,1639.54,1009,1005,2023-04-01
7588743771,5418.79,946,435,2025-01-05
5997425170,8038.54,1033,945,2023-11-03
10164423668,962.94,88,347,2022-08-01
9377227605,3543.26,181,182,2023-01-01
10586454995,3657.88,582,598,2024-09-02
1517892302,2861.73,78,116,2024-05-05
9861404793,88.68,373,224,2025-01-02
9929903447,7913.09,232,1113,2024-08-04
6052956325,2417.44,126,176,2022-09-01
7254376039,7730.65,1033,945,2023-07-02
5673341678,4982.44,582,598,2022-06-03
1671598378,6373.54,541,542,2022-09-02
3762321135,9571.22,376,378,2023-01-04
10536674135,1956.71,860,963,2024-08-03
4130427035,4762.17,1004,973,2024-01-01
9159194027,9155.25,309,308,2022-08-04
2533308603,6233.16,946,651,2024-04-01
6253402685,496.4,324,534,2022-04-02
6039982593,1196.63,612,920,2022-11-04
2195500732,4471.45,578,39,2024-08-01
10149710484,5567.74,229,394,2022-02-01
1057722159,2899.73,47,46,2023-09-03
4710178075,2100.75,1033,945,2023-10-04
1579401776,626.8,580,336,2023-04-01
9252926551,7144.18,181,182,2024-11-02
3534890035,2714.41,542,671,2024-09-01
3006086380,633.55,74,75,2022-03-05
6092073497,1016.44,1107,1104,2022-09-02
8588064899,3116.74,128,129,2024-03-06
7544239585,3359.46,148,442,2025-01-02
5996726645,2481.93,733,222,2023-01-05
9481168738,6298.24,74,76,2023-07-02
7416600015,6615.85,826,1173,2022-07-06
9773814900,6944.08,1009,1005,2022-07-05
10191130401,335.94,298,297,2024-09-02
6194194775,8951.52,628,187,2022-01-06
10166976438,3223.78,47,46,2023-08-05
4069245375,6466.38,1073,708,2022-10-01
9250188109,1946.79,261,262,2023-07-02
1344495056,5386.05,297,504,2024-09-05
9491549629,9416,1119,1171,2025-01-06
6323532105,9719.6,910,909,2022-03-01
3096393329,3774.23,107,558,2023-05-04
5644134455,6401.25,317,992,2023-08-05
6620488239,5721.99,47,46,2023-02-03
10273480639,4521.86,516,603,2025-01-05
1492591525,6691.08,148,576,2022-04-04
9401247845,8741.75,193,457,2023-05-03
6781453421,5262.95,1033,945,2024-02-04
4171558337,4374.7,162,615,2024-05-01
10542226880,8374.87,260,259,2022-07-01
2686010736,6105.81,659,661,2024-09-01
4788643935,5713.69,260,258,2022-02-03
3484750906,5689.58,580,336,2023-08-06
10918073585,6368.03,961,696,2023-05-04
6041400889,1659.84,122,124,2022-09-02
8633237993,5112.46,261,262,2023-02-03
4573163844,3846.96,183,101,2022-06-06
1437448709,5654.73,611,1111,2022-01-04
9068015035,5739,181,182,2024-06-01
4717097567,3920.59,541,542,2022-10-03
7348214856,7485.58,612,920,2022-02-04
3562100110,2524.6,278,177,2023-01-05
9590857159,4068.98,443,790,2025-01-03
1674983052,9414.99,17,724,2022-07-06
9732936485,9210.11,271,307,2022-05-04
2096523991,5857.23,384,385,2023-05-06
3392428331,8735.04,261,262,2024-03-03
9817921998,1172.23,260,258,2024-09-05
4485174351,7564.26,229,58,2024-03-03
8421550695,3076.28,1033,945,2022-01-03
5469670307,3720.96,884,157,2022-03-03
7258755022,710.49,363,346,2023-08-03
9370390376,4570.86,1107,1105,2025-01-06
2185495429,154.93,425,799,2024-03-01
6943137875,8820.83,128,129,2022-04-03
6696017114,4700.12,539,572,2023-09-06
3272678723,7716.25,129,128,2024-09-03
7035574783,6936.71,260,258,2022-08-02
8280364200,2915.95,961,696,2024-06-02
4072301579,9570.07,235,1179,2024-09-01
7573036634,5018.2,885,646,2024-10-03
3095679804,4009.91,193,791,2024-11-04
8454227804,7099.95,292,293,2023-08-01
8941678175,9736.04,47,46,2024-01-01
8200298584,8355.21,644,643,2023-01-05
2100424452,8769.07,181,182,2022-02-02
1419458305,9584.17,985,1154,2024-08-02
8524388404,8026.54,425,763,2023-05-01
9431196598,426.13,425,763,2023-08-01
2453438325,9449.74,260,258,2024-03-05
8560248121,9556.97,542,948,2025-01-04
9036182870,2207.29,297,504,2022-09-02
9533686353,9703.19,309,308,2024-07-05
9075636105,3034.71,389,166,2022-02-01
5535617495,3089.23,324,322,2023-07-03
8119344300,836.44,128,129,2023-05-01
9460580369,5809.88,30,117,2023-06-03
9854189807,7290.23,297,504,2024-09-04
8477317105,7835.82,261,288,2022-09-01
8798855052,9251.29,193,791,2024-08-01
9374975251,1724.92,183,181,2023-08-01
10259951429,4299.95,258,260,2024-04-02
1290956437,9429.76,162,615,2022-01-01
10233546793,6803.53,1143,1052,2022-07-04
10989484015,7707.46,162,172,2024-02-03
2634932878,754.12,403,993,2022-04-04
8005770621,7118.68,47,46,2023-01-03
8767516424,5834.1,281,245,2023-01-04
6305672838,1523.04,501,784,2023-01-02
2402434137,8780.52,262,288,2024-05-02
8084142448,3148.6,985,514,2023-07-01
8053309543,7953.44,620,1048,2023-10-01
8988961637,8848.85,673,785,2024-10-02
1450896346,1448.67,271,307,2023-03-01
4835122179,9186.05,128,129,2022-04-02
6120097075,7755.48,112,886,2025-01-01
10472380278,7048.71,1096,809,2022-08-04
6281880953,7551.71,308,309,2024-01-02
10703524862,8406.97,910,909,2023-08-02
8227372990,1506.42,985,514,2023-06-04
2364183680,9666.76,550,476,2024-09-02
2400071121,1645.75,644,643,2024-06-06
8278859008,2543.74,1064,1078,2023-07-03
9835807636,4036.06,331,892,2022-06-01
7789819823,7092.38,1089,1165,2023-09-06
8476179430,6461.44,292,293,2024-04-01
1830424066,2280.68,1089,1165,2022-04-03
1809310830,7377.35,292,293,2023-08-03
1262023233,7717.57,772,64,2024-04-05
1711943552,1895.89,74,76,2024-01-04
7520084415,185.08,261,186,2023-10-06
3810867773,837.08,1033,945,2023-10-06
3982838255,4267.11,971,366,2022-07-01
2321991538,1134.31,233,1022,2024-08-06
6036406105,6727.66,742,405,2023-08-01
2478252313,1746.58,183,180,2024-09-05
6274706924,4292.09,1020,1021,2022-07-01
4328486033,9221.93,1069,1068,2024-05-04
5384899009,9279.92,229,830,2023-05-02
3610126535,8575.63,322,433,2022-11-04
7865186267,5516.29,855,996,2023-07-01
1050841586,6335.34,47,46,2023-11-04
5335716801,663.26,1143,1144,2023-11-05
4238009542,1681.17,181,182,2022-09-01
6050657790,1736.17,779,28,2023-05-03
2918453286,7989.12,331,954,2024-04-05
8778242723,7161.44,274,275,2023-10-06
6106214396,8607.55,659,535,2022-10-06
6284076061,4802.88,742,720,2024-03-01
6770507668,2461.62,128,129,2022-01-04
7296191615,3827.9,122,124,2023-10-05
6449794974,3686.85,47,46,2023-08-01
10386544148,8033.69,292,293,2024-06-06
4605373565,9039.14,627,184,2022-07-03
2609083623,9828.48,582,598,2025-01-03
7495171675,526.84,1006,695,2022-09-04
9133474064,1817.37,611,1111,2023-04-06
1657081013,3946.74,759,478,2024-11-03
2882582746,5259.42,985,609,2023-03-03
5997791589,947.05,229,830,2022-03-05
10875730612,3601.05,985,609,2024-10-05
10586813528,6068.15,580,336,2023-06-04
9558901122,9094.23,112,886,2023-10-01
9641927402,380.47,107,337,2024-11-02
8060422947,6616.24,492,872,2022-03-04
3197652746,5506.4,275,274,2022-01-05
6285687820,3556.33,884,157,2023-08-06
8642231086,1803.69,542,541,2023-10-05
8123471896,3810.38,87,88,2023-07-05
3167390591,2419.64,995,836,2022-01-02
3747775977,1031.7,324,322,2024-06-03
1563300489,9007.83,627,184,2023-01-01
7531381571,8391.79,260,258,2023-08-01
1909409307,5382.85,297,504,2022-11-01
5846534913,1732.61,909,910,2023-05-05
3467954910,2190.59,299,298,2024-01-05
9652286997,8495.24,864,844,2023-02-02
1913104061,7173.12,206,50,2023-09-03
7834362897,9669.91,112,886,2023-05-01
3338431467,6939.25,183,181,2025-01-02
8980590053,7465.63,193,791,2023-01-05
7846956720,2270.64,860,963,2022-01-04
5515917238,3469.07,298,297,2024-07-02
9126335910,509.34,1121,649,2023-05-01
3096888663,2341.45,421,632,2024-03-04
2476934343,4160.95,803,883,2022-04-04
5682624615,7494.18,286,913,2024-11-02
10368222622,2532.01,180,521,2022-03-01
1708605805,7878.1,745,744,2024-01-06
7987244129,3461.61,1033,1008,2024-07-06
2747980497,6989.3,425,59,2024-06-01
4198478442,3323.64,985,1154,2022-06-03
3266753722,8771.34,673,785,2022-02-04
1426258430,3843.92,733,231,2022-03-05
5053963421,7466.14,324,322,2022-05-05
10936511738,7438.43,141,40,2023-04-06
6159268814,8487.92,413,675,2022-01-02
1135562281,5539.49,86,228,2023-03-01
4331816265,1789.58,122,124,2023-05-01
2107657994,3657.05,260,258,2023-11-05
8601348801,4261.1,345,295,2022-05-04
4141168790,7534.81,1033,1008,2024-06-05
5371204626,7138.01,84,83,2024-10-01
6559673298,2991.44,348,475,2022-09-06
3870361014,889.06,627,184,2022-01-06
3899319812,2159.94,985,514,2024-04-01
7186275554,8069.88,744,745,2023-01-01
1837211699,2967.99,192,553,2022-11-02
6389186939,1179.38,661,659,2022-08-03
10719770448,1897.9,1075,575,2023-11-01
10028433996,4797.76,516,603,2024-04-01
6978974664,1287.58,340,739,2024-04-05
2968112721,9729.45,163,131,2023-01-04
10822455302,8191.08,605,419,2023-10-01
9083025416,6307.69,1033,1008,2022-10-06
7309994832,5479.78,320,319,2023-06-05
5632937145,9121.13,258,260,2024-04-01
1192202793,5868.83,910,909,2024-11-01
6192483613,434.27,258,260,2023-05-05
1665694142,3926.72,860,963,2024-06-02
4621719371,8571.31,297,504,2024-10-06
1178359794,5603.47,1033,1008,2023-07-02
7548439531,3120.37,1033,1008,2024-06-01
4091186833,9964.49,260,258,2024-04-04
7508114833,5886.61,542,541,2023-01-02
7020290865,7055.24,297,459,2022-06-05
6823961911,1112.36,261,705,2024-06-01
7849079308,7330.56,425,763,2022-07-01
1091095587,3331.57,1009,1005,2024-06-02
1642829742,2306.47,582,598,2023-07-06
7394255371,4176.39,542,541,2024-09-06
4132023697,4312.79,261,288,2022-02-01
10114329552,7187.29,297,504,2023-10-02
2454717376,7330.45,821,1125,2025-01-02
8622303611,8482.31,281,282,2024-01-06
10835836120,6977.54,1139,1141,2022-02-05
8900365827,6546.79,136,137,2023-02-03
6649380883,8184.1,309,308,2023-03-03
4681839041,8879.07,668,738,2024-05-06
2637480403,8868.97,975,974,2024-07-05
5778935248,8734.16,258,260,2024-07-01
7424727397,3111.57,331,796,2022-04-01
3176748183,4202.2,281,212,2024-09-03
4546585450,7734.47,610,652,2022-04-03
4262205111,4487.9,181,183,2024-08-05
4550592824,3727.65,128,129,2022-05-03
6729649484,8944.12,403,412,2022-07-02
3989452050,1390.7,756,757,2022-11-02
8137862858,3468.94,909,910,2024-02-02
6278163418,3270.92,607,248,2024-02-05
6565062425,4854.17,183,181,2022-10-01
5782159093,8310.51,181,183,2023-02-06
1170989678,5589.08,498,500,2023-02-01
1100517589,5805.88,742,720,2024-07-05
9021001178,7899.04,297,298,2023-04-01
6051673152,4629.83,1033,945,2023-02-05
6114786559,1826.89,909,910,2023-01-05
10376919598,143.36,298,297,2024-02-01
9245876942,6957.2,1033,945,2023-08-02
7047929699,1473.25,246,247,2023-10-02
2209977532,3801.89,324,534,2024-05-03
9013092226,1926.71,860,1156,2022-01-02
7335796685,3223.13,744,745,2023-08-01
7580855574,1243.27,690,894,2023-04-02
1528178206,6774.27,128,129,2023-01-01
10788039512,5596.32,524,630,2024-08-06
9770459595,515.47,47,46,2022-06-04
6772798562,4056.75,246,247,2023-11-02
10657195997,5284.59,1033,945,2023-01-04
6037407398,5741.52,742,220,2023-08-04
1899190728,5919.61,605,614,2023-01-01
6330891710,4665.03,391,828,2024-10-01
7053518668,1926.48,425,799,2022-05-02
9509087872,5827.01,910,909,2022-02-06
6285822376,1113.9,425,59,2024-01-01
5106352588,1075.74,910,909,2022-10-06
1338256958,4416.62,183,181,2025-01-01
9704269746,8495.25,122,124,2024-01-03
2103752262,7171.64,425,763,2022-06-04
8395813947,1392.07,193,791,2025-01-02
4776658349,8129.2,1089,1165,2022-03-04
7584151206,3019.33,860,963,2024-03-05
6766770147,2644.95,1033,945,2024-03-01
5360064652,5651.83,909,910,2024-01-01
7179303112,184.26,298,459,2024-03-02
9243576001,4134.18,610,801,2023-05-03
5442822208,8403.12,47,46,2024-04-05
6598261470,1909.17,1121,1177,2024-01-01
7671179674,2706.56,193,791,2024-11-04
6502424857,4260.88,733,5,2023-02-02
4731376070,9550.03,909,910,2024-02-05
7371920886,8226.3,733,222,2024-07-02
7995832887,6582.67,181,101,2024-09-01
7459453624,1036.27,582,598,2024-06-03
9584480080,3813.8,779,28,2023-04-06
6682684806,6291.53,1033,945,2023-01-05
5980629611,1467.25,1148,85,2024-01-03
7456826793,3227.27,612,920,2022-02-04
6536839192,8436.33,112,886,2022-01-01
3370386517,466.46,47,46,2023-02-02
1160391959,892.05,47,46,2023-09-01
5986548430,2160.57,876,143,2022-10-03
4231496649,7526.38,610,801,2022-11-01
4940340287,1412.95,292,293,2022-09-03
8330054428,5580.19,550,476,2023-03-06
3708703108,8636.19,1033,945,2022-09-03
6863489038,3194.06,272,271,2024-08-01
10612296330,5208.31,260,258,2024-09-01
1579090074,9557.39,425,59,2022-01-06
3983157444,9295.42,376,378,2023-05-03
6395914675,2647.56,668,822,2023-07-01
5975929153,6828.28,542,541,2022-08-01
4933804296,2495.83,229,58,2023-02-05
5886200494,5298.27,742,720,2024-11-04
4237918749,4868.51,1089,1165,2022-07-06
5007841932,6136.2,1033,945,2023-07-04
4927465727,8869.18,425,763,2024-04-06
7003607003,4089.15,47,46,2023-02-02
6041471074,5741.37,759,478,2023-03-06
6016108731,2840.67,884,157,2022-07-02
7584742169,9348.47,1089,1165,2023-01-01
6797244649,4014.4,305,465,2024-03-02
2963029033,9966.19,331,796,2024-07-01
10970798992,5688.28,128,129,2022-01-01
6911558418,7634.34,260,258,2024-05-03
8637751576,3006.46,733,854,2024-10-02
10079938567,306.42,879,878,2023-03-04
4763614796,7634.14,148,442,2022-10-06
4203144913,2936.27,389,166,2024-01-01
4982616124,7406.76,112,886,2023-01-02
4282256914,458.18,1073,708,2025-01-05
7252325864,943.39,909,910,2024-01-06
1920628538,6857,421,632,2023-08-01
6387920199,2800.26,582,588,2024-04-05
7906140625,2908.02,542,898,2023-01-03
7371365992,9752.02,136,137,2023-05-02
1705465019,7584.32,322,203,2022-05-02
8091678433,6664.86,960,495,2022-03-05
7275705773,5082.75,910,909,2024-02-01
10413852034,6625.81,309,308,2022-06-05
2338210885,503.52,260,259,2023-08-03
1282510263,4119.24,193,791,2024-01-02
7086821608,2723.65,610,565,2024-07-02
10375851634,9892.36,678,704,2023-03-03
4704933309,4535.55,1009,1005,2023-06-01
8349918238,6059.07,47,46,2023-03-05
1761953679,7014.03,260,258,2024-02-03
3936730380,1954.02,1069,1068,2023-07-01
2919927764,3609,183,181,2022-10-02
2893798579,2900.99,260,258,2022-04-06
8349021617,5544.12,183,181,2022-03-01
1443898502,1820.26,324,322,2022-05-03
10540958762,2365.22,389,166,2023-07-05
2768419403,4833.1,260,258,2024-09-02
8179374186,8857.54,47,46,2024-05-06
5378636656,7805.35,1029,555,2022-02-01
1398229030,3689.33,539,572,2024-10-05
2134114903,5499.38,1006,695,2022-03-06
6304348850,363.69,47,46,2024-08-06
6904840522,8546.36,128,129,2024-10-02
7132927752,5835.12,933,334,2024-01-03
5575365002,2952.59,605,49,2023-02-05
9149451569,6174.65,47,46,2022-08-03
9329345418,441.92,297,467,2023-07-01
2709248832,2013.73,995,922,2024-06-06
1179990851,1030.78,1033,945,2023-01-02
7126514637,613.68,47,46,2023-03-06
8318929581,2746.45,933,448,2024-09-01
3393852162,1559.73,262,186,2024-01-01
3338935181,2455.09,363,444,2022-01-06
6042651207,2241.51,1033,945,2024-07-03
10782796095,6182.33,293,292,2022-11-05
6864361761,9346.13,425,763,2022-10-01
9912850262,1784.4,855,802,2023-05-03
2524534632,2322.09,524,386,2022-11-04
1416359607,6043.76,308,309,2022-11-01
10633765025,2059.22,78,116,2022-03-05
1475426539,8149.58,815,1083,2023-04-01
1789403298,9791.83,1065,1066,2023-09-01
6150570128,4152.96,181,180,2023-08-01
10636312840,5273.54,425,59,2024-03-01
1030513130,7777.8,542,656,2023-07-01
4775244618,5092.72,47,46,2023-01-01
9849823144,5425.74,1096,939,2024-06-06
3982356791,1487.55,612,920,2023-01-04
8441205153,7778.13,319,318,2022-07-03
8727828964,9276.17,162,615,2024-08-01
5737206132,3169.4,269,707,2024-01-06
6171911526,1855.68,47,46,2023-06-01
9684457435,2853.59,985,514,2023-06-03
9782371912,8183.7,826,1173,2024-02-04
3482806264,6579.06,281,374,2022-11-05
7553350284,8661.78,258,260,2024-06-03
10332570439,8660.61,128,129,2024-02-01
2436985150,6243.6,261,262,2022-08-05
4338070621,6435.64,610,652,2023-02-05
8068586638,9917.58,582,598,2023-05-05
3234982114,363.79,733,94,2024-06-06
9863812860,8703.39,62,61,2022-03-02
5651838372,7986.48,274,275,2023-02-02
8517876574,9957.96,260,258,2024-05-03
5499150734,497.25,297,1051,2022-11-02
3173839417,6790.17,971,493,2022-07-02
10607271203,9498.04,1073,708,2022-07-04
2196086317,1505.79,425,59,2024-07-01
7478968276,3396.5,539,572,2023-04-01
4337327823,8549.3,353,896,2024-11-01
9341062826,2897.97,1020,1021,2022-09-06
4117882378,8437.08,128,129,2024-07-01
6356830196,6515.94,308,309,2024-11-01
9500349790,3293.06,376,378,2024-02-05
10506120789,2432.38,960,495,2024-07-05
4456269659,8437.01,29,30,2024-01-04
3247691928,865.51,128,129,2023-08-03
4803653245,3582.23,128,130,2023-11-04
10073442551,6680.07,501,264,2022-01-02
5616078299,2488.64,971,1092,2023-03-06
4312176910,485.82,181,183,2022-01-02
3864209584,4731.38,261,262,2022-03-01
4778897396,4319.89,852,349,2024-10-06
4873145909,4879.45,1029,354,2023-01-03
7099705388,6653.1,331,892,2023-07-04
5391379093,4273.09,389,166,2024-07-06
8162302355,2479.01,112,418,2023-11-02
8224342002,3817.87,472,156,2023-10-04
4339462121,5166.28,745,744,2022-01-06
6432775837,437.41,260,258,2022-07-01
7236776994,9691.4,389,166,2024-08-01
6545902310,4492.05,627,747,2024-11-05
8259431030,9737.85,985,1154,2023-02-05
5125931513,6205.92,733,231,2024-04-04
10844443083,5838.83,744,745,2022-02-05
1534848798,5499.32,390,52,2022-07-02
10094261724,9796.02,29,30,2024-03-02
8969927663,5744.58,234,766,2024-03-02
5974348968,5756.65,181,182,2024-02-01
7467746157,8612.5,813,916,2024-06-01
10005495015,6006.63,542,540,2024-03-05
8420363965,7658.36,519,559,2022-01-01
6219641602,4938.02,757,756,2022-09-01
3243888976,9488.99,1065,1066,2022-11-01
10151876150,1408.13,946,435,2024-09-03
8103882059,9540.15,260,258,2023-04-02
10009036496,7179.34,421,632,2024-04-05
8562603819,2293.84,1033,1008,2024-05-02
7291811281,9092.52,733,728,2023-09-01
8403594048,2389.87,425,59,2023-01-05
2732835639,8434.86,324,534,2022-04-06
2619939490,3856.35,607,144,2025-01-01
4787841470,4347.09,297,298,2024-02-05
5070397811,333.77,329,179,2022-10-03
6157970489,8418.96,516,603,2022-02-03
8443057102,1253.89,610,1109,2022-11-05
2907046452,2831.7,181,180,2025-01-05
5846134058,46.1,390,146,2023-10-05
6096988225,3163.61,425,59,2022-11-01
7022825144,7299.17,794,32,2024-05-01
3844071084,7710.89,324,433,2022-07-03
7577286764,244.84,627,747,2024-01-02
6030881451,7698.87,1119,1171,2023-05-03
8306331858,4647.34,627,747,2024-01-05
2149699590,7535.86,788,789,2022-08-04
3235433319,7484.04,331,892,2024-09-01
7598410774,6205.39,260,258,2022-02-01
5278027934,6620.11,261,288,2022-06-02
2538168788,4755.46,610,801,2024-08-04
5527945675,6262.99,182,521,2024-11-06
1259698993,585.23,1029,555,2022-10-02
5214274574,4722.03,389,166,2024-01-06
7652408355,3109.72,627,866,2023-06-05
1494316115,8604.24,744,745,2024-03-05
4344699649,1628.9,542,541,2022-02-03
4885006824,9265.21,1148,108,2023-02-02
7206226451,5250.5,234,420,2022-02-01
4852398881,4085.62,181,183,2023-02-02
7810139065,3124.28,668,738,2023-01-02
9197640171,6924.45,524,386,2023-11-05
6778909595,7004.17,153,154,2023-10-02
9307742787,8053.44,612,920,2024-07-01
3518973856,1538.42,582,26,2022-01-02
10503337133,2060.18,181,101,2022-08-05
3574899791,614.46,1107,1104,2022-07-04
6644847117,8446.73,985,609,2024-01-01
6015917066,7910.55,1069,1068,2023-06-03
10965708513,9530.13,298,504,2022-08-04
